Word,Part of Speech,Meaning,Example (Wolaytta),Example (English)
mazggabaa,noun,"ledger, a book containing credit and debit accounts%","A 
sunttay mazggabaappe qucettiichchiis.","His name has been canceled from the 
ledger.%"
mazggabaa,noun,"roll, record book
%",,
mazggabaa,noun,registration%,"Wolqqaama iray bukkin tamaare naatu mazggabuwa gallassay 
yererettiis.","Registration for the students was postponed due to the heavy 
rainfall.
nabbabuwa (nibaabiya)%1. noun%"
mazggabaa,noun,reading%,"Gaazeexaa nabbaboy nabbabuwanne 
xaafuwa erawu go''ees.",Reading the newspaper is a benefit of being literate.%
ne,pronoun,you (singular nominative)%,Taani bays. Ne tanaara baana koyay?,I am leaving. Do you want to go with me?%
ne,pronoun,your (singular)%,"Ne na'ee azinay 
neessi bollo.",Your daughter's husband is your son in-law.
oyshaa,noun,question; request; requirement%,"Ha oyshaa neeni zaarikko, ta 
neessi woytuwa immana.","If you answer this question, I am going to reward you.
%"
oyshaa,noun,interview%,Wontto maallado paaciyan aadhdhida naatussi oychchi zaaroy de'ees.,"Tomorrow 
morning, there is an interview for the employees who passed the entrance exam.%
(syn) [oychchi zaaruwa]"
pashkka,adjective,healthy; well; radiant%,"Pashkka asay lo''o qaaxxoosona, 
loyttidi moosonanne daro xiskkoosona.","Healthy people get exercise, eat well, 
and get plenty of sleep.%"
pashkka,adjective,"joyful; cheerful; lively; exuberant; excited; 
smiley; funny%",Iyyoo pashkka hanotay de'ees.,"She has a joyful attitude.%(syn)
[nokkiina, ashilaalo.]"
payya,adjective,healthy; lively%,"Oyddu hakkaara de'iya asati duriiddi 
doosona.","Four lively people are dancing.%(syn) [pilaata, tilla.]%"
payya,adjective,good; well;,,
qatuwa,noun,"fortress, refuge, army camp, fortified point, cave, fort,",,
saluwa,noun,sky; firmament; space%,Kafoy saluwan paallees.,"Birds fly in 
the sky.%"
saluwa,noun,heaven%,"Daro 
asay hayquwappe hini baggan saluwan de'oy diyogaa ammanees.","Many people 
believe that there is life after death in heaven."
shin,connective,but%,"I tamaare soo biis shin timirttiya suure 
kaallibeenna.","He went to school, but he did not attend the lessons properly.%"
shuhaa,noun,slaughtering%,Mehiya shuhay axaariyassi gita oso.,Slaughtering cows is the butcher's main work.%(syn) [siifettaa.]%
shuhaa,noun,operation;,,
wodiya,noun,time; moment%,"Taassi coo aattiyo wodee baawa; ta oosiyo 
harddana.","I haven't time to waste and must continue my work.%(syn) [sa'aa, 
saatiya.]%"
wodiya,noun,season%,"Layttan oyddu wodeti de'oosona. hegeetikka: ofinttaa, 
balgguwa, badhdheesaanne boniya.","There are four seasons in a year. These are: 
spring, summer, autumn and winter.%"
wodiya,noun,calendar%,,
wodiya,noun,"age, life, length of life",,
yummanna,adjective,"callow; gullible; ignorant; foolish; silly; dull; 
unintelligent; imprudent; thoughtless; irrational; stupid%","Yummanna asi 
sohuwara cimeti aggees.",A gullible person is easily fooled.%
zoriya,noun,advice; counsel; recommendation%,"Ne dottoriya zoriya ekkanawu 
bessees.",You should follow your doctor's advice.%
annaaciya,noun,race; competition; contest; match%,"Annaacee iray buhaa 
doommiyode doommiis.",The competition had just started when it began to rain.%
aayyiyo,noun,mother%,Cora naata yeliyogee aayyiyo keehippe qohees.,"It is
dangerous for a mother to give birth to many children.%"
aayyiyo,noun,lady%,"Aayetoonne aawaatoo, 
hayyanintta, intte oyddiyan uttitte.","Ladies and gentlemen, please, take your 
seats.
al""o%1. adjective%"
aayyiyo,noun,expensive; costly; elegant%,"Taani al''o kaamiya shammanawu 
danddayikke; hegaa gishshawu takisiyan woykko tohuwan baana.","I cannot afford 
to buy an expensive car, so I will take a taxi or walk.%(syn) [gatti oyttenna, 
salo xeera, toora xeera, maahe moore]%"
aayyiyo,noun,precious%,"Ta al""o wodiya xuuggoppa.",Don't waste my precious time.%
aayyiyo,noun,dear%,"I ta al""o laggetuppe issuwa.","He is one 
of my dear friends."
awaajjuwa,noun,proclamation; statute %,"Goshshanchchati biittay gujettidi 
imettiyo awaajjuwa siyidi ufayttidosona.","The peasants were happy when they 
heard the proclamation that they would be given more land. %"
awaajjuwa,noun,announcement %,Maykrofooniyan awaajjiyogee siyettiis.,The announcement was heard over the loud speaker. %
ayssi,adverb,"why, for what reason %",Ayssi gam''adii?,"Why were you late? 
%"
ayssi,adverb,"why, 
used in questions to suggest that it is not necessary to do something %","Awu 
xaafana giidi ayssi un''ettiyo? Nuuni wontto A demmana.","Why bother to write? 
We'll see him tomorrow."
bogiya,noun,robbery; plunder; loot%,"Bogee miishshaa woykko miishsha 
kessiyabaa boggiyogaa.","Robbery is the crime of stealing money or other 
property.%"
bogiya,noun,"haste; hurry; speed; uproar%(syn) [dirbbaa, eesuwa,
kiirikiiraa, kitikittuwa, jaakirettaa, jaamaa, dibilaa, kiirinttaa, 
bichchaarettaa, seturettaa.)",,
bolluwa,noun,"father-in-law, one's wife's father%","Ne keettaayee away niyo 
bollo.","Your wife's father is your father-in-law.%(syn) [na'ee azinaa, godaata,
azinaa aawaa.]%"
bolluwa,noun,"son-in-law, a husband of one's daughter%","Ta na'ee azinay 
taassi bollo.",My daughter's husband is my sonin-law.%
bolluwa,noun,brother-in-law %,"I 
michchee azinay iyyoo bollo.",Her sister's husband is her brother-in-law.
calaa,noun,"hide, skin, leather, hide of smaller animals %","Beni wode asay 
calaa maayiiddi takkiis.",People used to wear hides in olden days. %
cawaa,noun,sweat %,I huchchisuwappe denddidaagan cawattiis.,"He was 
soaked in sweat from jogging. %"
cawaa,noun,"effort, hard work %","Mino oosoy lo''o murutaa 
immees.",Hard work brings good results. %
cawaa,noun,"snatch, grab, take rudely or forcibly %","Looxee
mishiree borssaa dafi ekkidi woxxiis.","The pickpocket ran away after he had 
snatched the woman's purse. %"
doommiyagaa,noun,beginner; pioneer%,"Assi daro laytta ooso meezee 
de'ikkonne I muletoo biron doommiyagaadan oottees.","Although he had years of 
experiences, he usually does the activities like a beginner.%"
doommiyagaa,noun,novice%,"I 
komppiwteriya oosuwa doommiyagaa.",He is a novice at computer work.
dooruwa,noun,election; vote%,deretettaassi sunttettiya asaa dooruwa,"the 
election of the people's representative%"
dooruwa,noun,"choice; 
selection; preference%",Shammiyobaassi dooruwa diikko keha.,"It is better to 
have a preference when buying things.%"
geella,adjective,"crooked, curved, hooked, bent, not straight%","Geella 
xam""aa sittissa.","Straighten the bent stick.%(syn) [desha, selisedda, sole, 
yuuba.]%"
geella,adjective,"naughty; troublesome; mischievous; disobedient; difficult; obscure; 
notorious; awkward; crooked; obstinate; mulish; stubborn%","Geella maccaasa qofaa
aybinne laammanaw danddayenna.","Nothing can change the mind of an obstinate 
woman.%"
gita,adjective,big; great; huge; massive; large; tall; awesome%,"Yelagati 
gita asa bonchchanawu bessees.","The young should honor great men.%(syn) [wogga,
gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, axuma, zeekeele, 
xeere, xeeppula, xeeppo, anuca, xaane, xawudala, manne, geere, xekese, xoyllo, 
tennejja, yaakula, baa'ula, xettemere, yam''araara, axuure]%"
gita,adjective,noble; prominent%,Eti gita oosuwara diya asa; deree bonchchiyo asa.,"They are people of noble 
actions; everybody respects them.%"
gita,adjective,"honorable, respectful (having personal 
integrity)%",Gita asikka ussa worddotanna danddayees.,"Even an honorable person
may lie."
gòdaa,noun,lord%,Saluwa Godaa,The Lord of Heaven%
gòdaa,noun,owner %,Baluqiya ba godaa qakkaasu.,The mule kicked its owner.%
haattaa,noun,water%,Otuwan diya haattay uyanawu keehi irxxa.,"The water 
in the pot is too cold to drink. %"
haattaa,noun,river%,"Haattaa pinnanaw ciimma malatiyo 
gishshaw nuuni yayida.","We were too frightened to cross the river on foot 
because it looked deep.%(syn) [shaafaa]%"
haattaa,noun,coward%,"Na'ay haatta. Co''a kanayyoo 
yayyees.",The boy is a coward. He is afraid of a calm dog.
koshaa,noun,famine; starvation; hunger%,Iraa xayoy koshaa ehees.,"Lack of
rain brings about famine.%"
koshaa,noun,drought%,"Nu biittaa qohida kosha 
ubbaappe, 1973 koshay iita.","Of all the natural disasters we have faced, the 
1973 drought was the worst.%"
qooriya,noun,neck (front)%,"Qooree huuphiyappenne hashiyappe gidduwan 
de'iya bollaa kifile.","The neck is the part of the body between the head and 
shoulder.%(syn) [ziizziya.]%"
qooriya,noun,throat%,,
qooriya,noun,meal; feeding; appetite%,"Ne booray 
qooriya laafa.",Your ox does not have a good appetite.%
qorqqoruwa,noun,"tin, roofing tin%","I ba aawassi xeetu yeechcha qorqqoruwa 
shocciis.",He built a house for his father using a hundred sheets of tin.%
qorqqoruwa,noun,can%,"Taani issi 
qorqqoro parssuwa uyaas.",I drank a can of ale.%
siiquwa,noun,love; romance; affection; compassion%,"Aayi siiqoy shaahoy 
baynnaagaa.",A mother's love is unselfish.%
siiquwa,noun,lover (male)%,,
siiquwa,noun,"fiance, the man to whom a woman is 
engaged to be married",,
timirttiya,noun,lesson; education%,"Hiyyeesatettay timirttiyan sugettana 
danddayees.",Poverty can be fought through education.%
tooraa,noun,war; battle%,A na'ay tooran hayqqiis.,"His son died in the 
war.%"
tooraa,noun,army; soldiers%,"Kawo Saade 
Motole/Kawo Motole Tooraa","The Army of King Saade Motole/King Motole%(syn) 
[burggeessaa, baadiya.]"
zabbaa,noun,"compound, a compound in which a palace is found%","Kanay ba 
godaa zabbaa naagees.",The dog guards its master's compound.%
zabbaa,noun,"court hall (for some 
famous individuals)%(syn) [dubbushaa, gutaraa.]%",,
zabbaa,noun,palace%(syn) [garuwa.],,
markkaa,noun,witness; testification; testimony%,"Markki baynna yohuwassi 
allaallee baawa.",A charge without a witness is meaningless.%
mela,adjective,empty; vacant; hollow%,"Kaysoti mela gimbbiyan 
qosettidosona.",The thieves hid in vacant building.%
mela,adjective,vain%,xoonennan coo mela,
mittaa,noun,tree%,I mittaa kalttan qanxxiis.,"He cut the tree with an ax.
%"
mittaa,noun,forest%,Mitta giddon cora do'ati de'oosona.,"There are a lot of wild 
animals in the forest.%"
mittaa,noun,wood; firewood%,"Mittaa eessuwan qerarkkii, hayyannaa.","Split the wood quickly, please.%(syn) [sharqquwa]"
issuwa,adjective,one%,"Issoy issuwara, naa''a.",One and one equals two.%2
i,pronoun,he%,Inne taanne ooyettido gishshawu issoy issuwara haasayokko.,He and I don't talk to each other since we quarreled.%(syn) [onakkoy]%2 .
nu,pronoun,"we, first person plural nominative pronoun%","Nu O zino aara 
haasayishin be'ida.",We saw her talking to him yesterday.%(syn) [nuuni]%2
ammanettiya,adjective,honest; sincere; loyal; faithful; trustworthy;,,
ammanettiya,adjective,honest; sincere; loyal; faithful; trustworthy;,,
daafaa,noun,danger; accident; emergency%,"Nuuni maallado tamaariyaw biiddi,
iita oge bolla daafaa be'ida.","This morning, on our way to school, we saw a 
serious road accident.%"
daafaa,noun,disaster,,
dendduwa,noun,resurrection%,"Asay Yesuusa dendduwa sooninne woosa keettan 
bonchchees.",People celebrate Christ's resurrection at home and in churches.%
dendduwa,noun,standing up%,,
dendduwa,noun,origin%,Kinddoy Wolaytta asaw denddo.,"Kindo is the origin of 
Wolaita.%(syn) [kuushshaa, baasuwa, kaniya.]%"
dendduwa,noun,cause%,"Ha daafaayyo denddoy 
aybee?",What is the cause of this accident?
eqettiyagaa,noun,combatant; opponent; adversary; foe %,"Palaman, olan woykko
hara annaaciyan hara uraara woykko citaara annaacettiya asi eqettiyagaa 
geetettees.","A person or team who competes in a debate, battle, or other 
contest against another person or team is an opponent. %"
kase,adjective,previous; first%,I kase oosuwa meeziyappe oottees.,"He 
works from previous experience.%"
kase,adjective,ago; previously; earlier; before;,,
kattaa,noun,food; meal; nourishment%,"Qan""ee, laaxaynne kahoy nuuni muletoo
gallasan heezza miyo kattata.","Breakfast, lunch, and dinner are the three meals
we have every day.%"
kattaa,noun,crop; grain; cereal%,"Kattay maanaw go""ettiyo mokkiya 
dozaa.","Crops are plants grown in large quantities, especially as food.%"
kunddettaa,noun,fall; downfall; collapse; defeat%,"biittaw woykko 
ambbaw/katamawu wurssetta kunddetta",final defeat of a city or country%
kunddettaa,noun,failure; defeat%,Ho''iya asawu kunddettay mataana.,The proud person will soon end in failure.%
maataa,noun,grass%,Miizzay maataa mees.,Cattle eat grass.%
metuwa,noun,work; job; activity; deed%(syn) [oosuwa.]%,,
metuwa,noun,"problem; matter; 
crisis; hardship; calamity; misery; difficulty; anguish; suffering; agony; 
torture; anxiety%","Ayssi neeni keehi un''ettidabaa malata uttadii? Ne metoy 
aybee?",Why are you looking so worried? What is the matter?%
metuwa,noun,trouble%,Meto medhdhoppa!,Don't cause trouble!
miixaa,noun,border; boundary%,"Nuuni nu biittaa miixaa morkketuppe 
naaganawu koshshees.","We should keep our country's border from the enemies.%
(syn) [qatuwa, gambbaa, qatamaa, zabbaa, shuuriya.]%"
miixaa,noun,stronghold (land)%,"Ne ne 
aawaa miixaa naaganaw koshshees.","You should preserve your father's stronghold.
%"
miixaa,noun,refuge; shelter; protection%,,
miixaa,noun,gate; door; entrance; doorway%,"Intte miixan 
miixan intteyyoo saroy gido!",Peace be with you in each of your outdoors!
mino,adjective,strong; hard; solid%,shuchchaadan mino,as hard as stone%
mino,adjective,"clever; alert; plucky; 
adroit; smart; skillful%",I gooba tamaare; timirttee ayyoo eesuwan gelees.,"He 
is a clever student and understands the lessons quickly.%(syn) [qexe geenna, 
yayyenna, gooba, gaammo, buuxanne geenna, babbenna.]%"
mino,adjective,"courageous; brave; 
valorous",,
mishuwa,noun,heat%,Qophee awaa mishuwa teqqees.,"A hat protects from the 
heat of the sun.%(syn) [suuluwa]%"
mishuwa,noun,fever%,mishuwa qoxuwa,fever and headache%
issoykka,adjective,neither%,"Naa''aappe issi kooteekka nenaara 
giigenna.",Neither coat looks good on you.%2 pronoun%
issoykka,adjective,neither%,"Macca naatu 
naa''aappe issinniyakka baanaw koyukku.",Neither of the girls wants to go.%3 .
issuwa,adjective,either%,"Naa''aappe issoykka daro dummatettaa 
ehenna.",It won't make much difference either way.%2 pronoun%
issuwa,adjective,either%,"Eta 
naa''aappe issuwara gayttanaw koyabeykke.",I refuse to meet either of them.%3 .
naaguwa,noun,guardian%,Xoossaa naagoy intte ubbaara gido.,"Let God's 
guardian be with all of you.%"
naaguwa,noun,expectation%,"Ta naagoy neeni ne gelido qaalaa 
polanaagaa.",My expectation was that you would keep your promise.%
naaguwa,noun,"protection;
preservation; conservation%",qumaa kammidi naaguwa the,preservation of food%
ogiya,noun,road; street; way; path; route; alley%,"Ta soo efiya ogee 
borchchiborchcha.",The road that leads to my house is rather rough.%
ogiya,noun,"method; mechanism; system%(syn) 
[hiillaa, maaraa.]%",,
ogiya,noun,truth; fact%,"Ogiya haasaya, hayyanaa.","Please, speak the 
truth.%(syn) [tumaa.]"
oosuwa,noun,work; job; occupation; deed; carrier; activity; task; labor%,Oosoy assi miishsha demmanawu oottiyobaa.,"A job is an activity that a person 
does in order to earn money.%"
oosuwa,noun,project%,Neeni ha oosuwa awude wurssay?,When will you complete this project?
qommuwa,noun,clan; tribe%,"Wogan asay ba qommuwappe ekkiyogeenne geliyogee 
ixettidabaa.","Culturally it is considered inappropriate to marry a person from 
the same clan.%"
qommuwa,noun,species%,"Burttukaaniya mittaynne loomiya mittay dumma qommuwa ayfiya
mittata.",Orange trees and lemon trees are different species of fruit trees.%
qommuwa,noun,kind; type; sort; variety%,Hagaa qommo yettati keehippe erettidaageeta.,"Music
of this kind is very popular."
Wolaytta,noun,"Wolaita, territory of Wolaita%",Wolaytta biittay aaho.,"The 
territory of Wolaita is wide.%"
Wolaytta,noun,"Wolaita (zonal political structure in South 
Nation Nationalities and People's Region)%",,
Wolaytta,noun,"Wolaita, people of Wolaita%",Wolaytta Olaa,The War of Wolaita%
Wolaytta,noun,"Wolaita, language of Wolaita%","Iyyoo neeni 
Wolayttan odana xayikko, gelenna.","If you don't tell her in Wolaita, she can't 
understand.%(syn) [Wolayttattuwa, Wolaytta Qaalaa.]"
wombbaraa,noun,chair%,xaraphpheezaanne wombbarata,a table and chairs%
xaafiya,noun,writer; scribe; author%,"Ha dabidaabbiya xaafidaagee 
yiillotida asa gidanawu bessees.","The writer of this letter must be in an angry
mood.%"
xaafiya,noun,secretary; clerk; typist%,"Xaafiya nuna gadaawa beeruwa gelanawu 
anttennan ixxaasu.",The secretary didn't allow us to enter the boss' office.%
xaafiya,noun,author%,"Xaafiya giyogee maxaafaa 
xaafi giigissiyagaa.",An author is somebody who writes a book.
a,pronoun,she (third person singular feminines)%,Ta michchiya sahettawusu,My sister is sick%
a,pronoun,him (third person singular masculine object)%,A eesuwan,
quickly,adjective,his%,"Hagee A maxaafaa Taagee hinin 
de'ees",This is his book. Mine is there%(syn) [onakko]
ay,pronoun,what%,Taappe neeni ay koyay?,"What do you want from me?%(syn) 
[aybaa]%2 adjective%"
